k,p_k,horizon_N,defects,rho_N,wall_time_s
4364,41729,1741977169,0,0.0,4.574900150299072
4365,41737,1743814081,0,0.0,4.540713548660278
4366,41759,1743981121,0,0.0,4.67914342880249
4367,41761,1744816441,0,0.0,4.485566139221191
4368,41771,1745317729,0,0.0,4.491647481918335
4369,41777,1747323601,0,0.0,4.468799591064453
4370,41801,1747992481,0,0.0,4.2539098262786865
4371,41809,1748326969,0,0.0,4.58495020866394
4372,41813,1750836649,0,0.0,4.634435176849365
4373,41843,1751338801,0,0.0,4.5414719581604
4374,41849,1751506201,0,0.0,4.542903661727905
4375,41851,1752510769,0,0.0,4.511137962341309
4376,41863,1753850641,0,0.0,4.52462100982666
4377,41879,1754520769,0,0.0,4.578658580780029
4378,41887,1755023449,0,0.0,4.518627166748047
4379,41893,1755358609,0,0.0,4.756137371063232
4380,41897,1755861409,0,0.0,4.506343841552734
4381,41903,1756531921,0,0.0,4.533499002456665
4382,41911,1757873329,0,0.0,4.254354238510132
4383,41927,1759047481,0,0.0,4.5566086769104
4384,41941,1759550809,0,0.0,4.703213691711426
4385,41947,1760054209,0,0.0,4.563366174697876
4386,41953,1760389849,0,0.0,4.526762008666992
4387,41957,1760557681,0,0.0,4.510788440704346
4388,41959,1761396961,0,0.0,4.596952199935913
4389,41969,1762404361,0,0.0,4.601567983627319
4390,41981,1762572289,0,0.0,4.488710880279541
4391,41983,1763916001,0,0.0,4.542306661605835
4392,41999,1765092169,0,0.0,4.522213459014893
4393,42013,1765428289,0,0.0,4.518658638000488
4394,42017,1765596361,0,0.0,4.2586047649383545
4395,42019,1765932529,0,0.0,4.564584016799927
4396,42023,1767613849,0,0.0,4.7192747592926025
4397,42043,1769127721,0,0.0,4.633787631988525
4398,42061,1769969041,0,0.0,4.553195476531982
4399,42071,1770137329,0,0.0,4.529048681259155
4400,42073,1770978889,0,0.0,4.550472259521484
4401,42083,1771483921,0,0.0,4.545335292816162
4402,42089,1772494201,0,0.0,4.5253541469573975
4403,42101,1775021161,0,0.0,4.590256452560425
4404,42131,1775695321,0,0.0,4.633094787597656
4405,42139,1777212649,0,0.0,4.624325513839722
4406,42157,1778224561,0,0.0,4.272189617156982
4407,42169,1779068041,0,0.0,4.6371636390686035
4408,42179,1779236761,0,0.0,4.716671943664551
4409,42181,1779742969,0,0.0,4.641021966934204
4410,42187,1780249249,0,0.0,4.650986194610596
4411,42193,1780586809,0,0.0,4.634608507156372
4412,42197,1781599681,0,0.0,4.650338888168335
4413,42209,1782612841,0,0.0,4.635596990585327
4414,42221,1782781729,0,0.0,4.596270322799683
4415,42223,1783119529,0,0.0,4.648175001144409
4416,42227,1784133121,0,0.0,4.6607584953308105
4417,42239,1785654049,0,0.0,4.215525388717651
4418,42257,1787682961,0,0.0,4.592975616455078
4419,42281,1787852089,0,0.0,4.714411735534668
4420,42283,1788697849,0,0.0,4.800306797027588
4421,42293,1789205401,0,0.0,4.663006544113159
4422,42299,1789882249,0,0.0,4.63754415512085
4423,42307,1791236329,0,0.0,4.62478494644165
4424,42323,1791913561,0,0.0,4.663238525390625
4425,42331,1792421569,0,0.0,4.622391700744629
4426,42337,1793437801,0,0.0,4.6105592250823975
4427,42349,1794284881,0,0.0,4.603204011917114
4428,42359,1795471129,0,0.0,4.336407661437988
4429,42373,1795979641,0,0.0,4.657810688018799
4430,42379,1796996881,0,0.0,4.676396131515503
4431,42391,1797505609,0,0.0,4.818104028701782
4432,42397,1798014409,0,0.0,4.979379653930664
4433,42403,1798353649,0,0.0,4.734654664993286
4434,42407,1798523281,0,0.0,4.65720796585083
4435,42409,1800559489,0,0.0,4.749053955078125
4436,42433,1800898969,0,0.0,4.657520771026611
4437,42437,1801408249,0,0.0,4.6933274269104
4438,42443,1802087401,0,0.0,4.32846474647522
4439,42451,1802596849,0,0.0,4.657845735549927
4440,42457,1802936521,0,0.0,4.63062310218811
4441,42461,1803106369,0,0.0,4.6194281578063965
4442,42463,1803446089,0,0.0,4.796189069747925
4443,42467,1803955729,0,0.0,4.8204076290130615
4444,42473,1805145169,0,0.0,4.708077669143677
4445,42487,1805485081,0,0.0,4.339712142944336
4446,42491,1806165001,0,0.0,4.714049577713013
4447,42499,1807015081,0,0.0,4.81225061416626
4448,42509,1809056089,0,0.0,5.100033760070801
4449,42533,1811098249,0,0.0,4.738602876663208
4450,42557,1812119761,0,0.0,4.708320617675781
4451,42569,1812290041,0,0.0,4.759063720703125
4452,42571,1812800929,0,0.0,4.689200162887573
4453,42577,1813822921,0,0.0,4.651172876358032
4454,42589,1815697321,0,0.0,5.0288002490997314
4455,42611,1818254881,0,0.0,4.443955183029175
4456,42641,1818425449,0,0.0,4.876567602157593
4457,42643,1818937201,0,0.0,4.723266839981079
4458,42649,1820472889,0,0.0,4.917088747024536
4459,42667,1821326329,0,0.0,4.94914698600769
4460,42677,1821838489,0,0.0,4.684267520904541
4461,42683,1822350721,0,0.0,4.679200887680054
4462,42689,1823033809,0,0.0,4.6966118812561035
4463,42697,1823375401,0,0.0,4.686912298202515
4464,42701,1823546209,0,0.0,4.705880641937256
4465,42703,1824058681,0,0.0,4.700190544128418
4466,42709,1824912961,0,0.0,4.7765350341796875
4467,42719,1825596529,0,0.0,4.369144439697266
4468,42727,1826451169,0,0.0,4.803256273269653
4469,42737,1826964049,0,0.0,4.739443063735962
4470,42743,1827648001,0,0.0,4.7473437786102295
4471,42751,1829016289,0,0.0,4.954802513122559
4472,42767,1829529529,0,0.0,4.810824632644653
4473,42773,1830727369,0,0.0,4.784605503082275
4474,42787,1831240849,0,0.0,4.7892255783081055
4475,42793,1831583209,0,0.0,5.018593072891235
4476,42797,1833638041,0,0.0,4.741759300231934
4477,42821,1834323241,0,0.0,4.716331720352173
4478,42829,1835179921,0,0.0,4.781055927276611
4479,42839,1835351281,0,0.0,4.350667953491211
4480,42841,1836379609,0,0.0,4.769952774047852
4481,42853,1836893881,0,0.0,4.726270914077759
4482,42859,1837236769,0,0.0,4.733387231826782
4483,42863,1840324201,0,0.0,4.781232595443726
4484,42899,1840495801,0,0.0,4.743901491165161
4485,42901,1842383929,0,0.0,4.730772972106934
4486,42923,1842899041,0,0.0,4.736284494400024
4487,42929,1843585969,0,0.0,4.740894079208374
4488,42937,1844101249,0,0.0,5.0423948764801025
4489,42943,1844960209,0,0.0,4.770794630050659
4490,42953,1845647521,0,0.0,4.806233167648315
4491,42961,1846163089,0,0.0,4.38896369934082
4492,42967,1847194441,0,0.0,4.882068395614624
4493,42979,1848054121,0,0.0,5.107823610305786
4494,42989,1849258009,0,0.0,4.86018967628479
4495,43003,1850118169,0,0.0,4.838635206222534
4496,43013,1850634361,0,0.0,4.865534782409668
4497,43019,1852183369,0,0.0,4.912024736404419
4498,43037,1853216401,0,0.0,4.798827409744263
4499,43049,1853388601,0,0.0,4.809043884277344
4500,43051,1854421969,0,0.0,4.962964773178101
4501,43063,1854766489,0,0.0,4.76466178894043
4502,43067,1857006649,0,0.0,4.803112506866455
4503,43093,1857868609,0,0.0,4.513420343399048
4504,43103,1859075689,0,0.0,4.821088552474976
4505,43117,1860455689,0,0.0,4.789365530014038
4506,43133,1862008801,0,0.0,4.799386978149414
4507,43151,1862699281,0,0.0,4.85612940788269
4508,43159,1864253329,0,0.0,4.8509440422058105
4509,43177,1865289721,0,0.0,4.814663648605347
4510,43189,1866326401,0,0.0,4.798137903213501
4511,43201,1866844849,0,0.0,4.90387487411499
4512,43207,1868227729,0,0.0,5.231346368789673
4513,43223,1869438169,0,0.0,4.795641660690308
4514,43237,1871514121,0,0.0,4.506460905075073
4515,43261,1872379441,0,0.0,4.795972585678101
4516,43271,1873418089,0,0.0,4.818132638931274
4517,43283,1874110681,0,0.0,4.795509338378906
4518,43291,1876015969,0,0.0,4.815607786178589
4519,43313,1876535761,0,0.0,4.844553470611572
4520,43319,1876709041,0,0.0,4.819266319274902
4521,43321,1877575561,0,0.0,4.8765342235565186
4522,43331,1882778881,0,0.0,4.876830577850342
4523,43391,1883299609,0,0.0,4.857424736022949
4524,43397,1883473201,0,0.0,4.90019154548645
4525,43399,1883820409,0,0.0,4.874926567077637
4526,43403,1884514921,0,0.0,4.571162700653076
4527,43411,1885904329,0,0.0,4.846578598022461
4528,43427,1887120481,0,0.0,4.928162097930908
4529,43441,1887989401,0,0.0,4.864483118057251
4530,43451,1888510849,0,0.0,4.857320785522461
4531,43457,1890597361,0,0.0,4.855831623077393
4532,43481,1891119169,0,0.0,4.869549989700317
4533,43487,1892163001,0,0.0,4.854031562805176
4534,43499,1893729289,0,0.0,4.852851390838623
4535,43517,1895818681,0,0.0,4.893935441970825
4536,43541,1895992849,0,0.0,4.644294738769531
4537,43543,1898606329,0,0.0,4.900823354721069
4538,43573,1898954929,0,0.0,4.903521299362183
4539,43577,1899129241,0,0.0,4.927785873413086
4540,43579,1900175281,0,0.0,4.974490165710449
4541,43591,1900698409,0,0.0,4.5645833015441895
4542,43597,1901570449,0,0.0,4.962463140487671
4543,43607,1901744881,0,0.0,4.9147419929504395
4544,43609,1902093769,0,0.0,4.893200397491455
4545,43613,1903315129,0,0.0,4.888912200927734
4546,43627,1903838689,0,0.0,4.89649224281311
4547,43633,1905235201,0,0.0,4.890716552734375
4548,43649,1905409801,0,0.0,4.92955207824707
4549,43651,1906282921,0,0.0,4.905533075332642
4550,43661,1906981561,0,0.0,4.8894336223602295
4551,43669,1908903481,0,0.0,4.851644515991211
4552,43691,1910651521,0,0.0,4.610661029815674
4553,43711,1911176089,0,0.0,4.891465902328491
4554,43717,1911525841,0,0.0,4.9579386711120605
4555,43721,1914325009,0,0.0,5.024636745452881
4556,43753,1914850081,0,0.0,4.945619106292725
4557,43759,1916425729,0,0.0,4.961157560348511
4558,43777,1916775961,0,0.0,4.910775184631348
4559,43781,1916951089,0,0.0,4.919194459915161
4560,43783,1917301369,0,0.0,4.9558265209198
4561,43787,1917476521,0,0.0,4.906189680099487
4562,43789,1917826849,0,0.0,4.925466299057007
4563,43793,1918527601,0,0.0,4.931737899780273
4564,43801,1923085609,0,0.0,4.628714323043823
4565,43853,1924313689,0,0.0,5.020292043685913
4566,43867,1926244321,0,0.0,5.225745916366577
4567,43889,1926419881,0,0.0,5.025535345077515
4568,43891,1928351569,0,0.0,5.0433008670806885
4569,43913,1930108489,0,0.0,5.012494087219238
4570,43933,1930987249,0,0.0,5.070963382720947
4571,43943,1931690401,0,0.0,5.023675203323364
4572,43951,1932569521,0,0.0,5.0470006465911865
4573,43961,1932745369,0,0.0,4.965550422668457
4574,43963,1933272961,0,0.0,4.938142538070679
4575,43969,1933624729,0,0.0,4.993792772293091
4576,43973,1934856169,0,0.0,4.603566884994507
4577,43987,1935208081,0,0.0,5.078172445297241
4578,43991,1935736009,0,0.0,5.10740065574646
4579,43997,1937496289,0,0.0,5.026677846908569
4580,44017,1937848441,0,0.0,5.015381097793579
4581,44021,1938376729,0,0.0,5.091125249862671
4582,44027,1938552841,0,0.0,5.0281982421875
4583,44029,1939609681,0,0.0,5.083897829055786
4584,44041,1940666809,0,0.0,5.009386777877808
4585,44053,1941195481,0,0.0,5.075564384460449
4586,44059,1942253041,0,0.0,5.0259270668029785
4587,44071,1943663569,0,0.0,5.006648540496826
4588,44087,1943839921,0,0.0,4.759095191955566
4589,44089,1944898201,0,0.0,5.040353536605835
4590,44101,1945780321,0,0.0,5.060167551040649
4591,44111,1946486161,0,0.0,5.006029367446899
4592,44119,1946839129,0,0.0,5.041693210601807
4593,44123,1947368641,0,0.0,4.988717555999756
4594,44129,1947545161,0,0.0,5.044597625732422
4595,44131,1950017281,0,0.0,5.005752325057983
4596,44159,1951077241,0,0.0,5.035510778427124
4597,44171,1951784041,0,0.0,4.988986253738403
